"","temp","origin","date","mean_temp"
"1",62.96,"EWR",2013-10-16,62.96
"2",78.98,"JFK",2013-07-14,78.98
"3",80.06,"LGA",2013-09-12,80.06
"4",37.94,"EWR",2013-10-25,37.94
"5",80.06,"EWR",2013-09-02,80.06
"6",35.06,"LGA",2013-02-23,35.06
"7",69.08,"JFK",2013-05-29,69.08
"8",60.08,"JFK",2013-10-09,60.08
"9",75.2,"LGA",2013-06-11,75.2
"10",66.92,"LGA",2013-05-10,66.92
"11",73.94,"JFK",2013-07-02,73.94
"12",48.02,"EWR",2013-04-21,48.02
"13",35.96,"EWR",2013-03-15,35.96
"14",42.98,"JFK",2013-02-14,42.98
"15",73.94,"EWR",2013-09-24,73.94
"16",30.92,"JFK",2013-02-05,30.92
"17",51.08,"EWR",2013-03-11,51.08
"18",78.08,"LGA",2013-08-16,78.08
"19",51.08,"JFK",2013-03-27,51.08
"20",86,"JFK",2013-08-21,86
"21",75.92,"JFK",2013-07-21,75.92
"22",75.02,"JFK",2013-07-13,75.02
"23",44.96,"LGA",2013-02-14,44.96
"24",91.94,"LGA",2013-07-17,91.94
"25",69.08,"JFK",2013-06-18,69.08
"26",32,"LGA",2013-02-01,32
"27",69.08,"LGA",2013-09-04,69.08
"28",68,"EWR",2013-10-21,68
"29",69.98,"JFK",2013-09-22,69.98
"30",75.02,"EWR",2013-05-17,75.02
"31",68,"LGA",2013-09-25,68
"32",57.02,"JFK",2013-04-25,57.02
"33",50,"EWR",2013-12-02,50
"34",30.92,"JFK",2013-02-17,30.92
"35",84.02,"LGA",2013-06-28,84.02
"36",39.02,"JFK",2013-02-14,39.02
"37",55.04,"JFK",2013-05-15,55.04
"38",50,"EWR",2013-12-21,50
"39",64.04,"LGA",2013-10-05,64.04
"40",77,"EWR",2013-07-22,77
"41",51.08,"EWR",2013-01-14,51.08
"42",64.04,"EWR",2013-06-21,64.04
"43",46.94,"LGA",2013-10-26,46.94
"44",41,"LGA",2013-03-13,41
"45",53.96,"EWR",2013-05-13,53.96
"46",69.08,"LGA",2013-09-16,69.08
"47",75.2,"LGA",2013-08-13,75.2
"48",35.96,"JFK",2013-03-14,35.96
"49",66.2,"EWR",2013-06-10,66.2
"50",57.92,"JFK",2013-09-23,57.92
"51",82.04,"EWR",2013-06-27,82.04
"52",44.06,"JFK",2013-12-06,44.06
"53",39.92,"LGA",2013-02-14,39.92
"54",44.06,"EWR",2013-03-10,44.06
"55",23,"EWR",2013-01-22,23
"56",73.94,"EWR",2013-06-01,73.94
"57",57.2,"LGA",2013-12-23,57.2
"58",69.08,"LGA",2013-09-13,69.08
"59",75.92,"LGA",2013-08-04,75.92
"60",78.08,"JFK",2013-08-16,78.08
"61",37.04,"JFK",2013-11-21,37.04
"62",55.94,"JFK",2013-09-23,55.94
"63",62.6,"EWR",2013-06-06,62.6
"64",60.98,"JFK",2013-05-02,60.98
"65",30.92,"LGA",2013-01-21,30.92
"66",51.08,"LGA",2013-04-23,51.08
"67",73.04,"JFK",2013-08-22,73.04
"68",23,"LGA",2013-01-27,23
"69",71.06,"LGA",2013-06-16,71.06
"70",39.02,"JFK",2013-02-13,39.02
"71",82.4,"EWR",2013-05-23,82.4
"72",48.02,"JFK",2013-04-11,48.02
"73",80.06,"EWR",2013-07-22,80.06
"74",66.02,"JFK",2013-06-14,66.02
"75",46.04,"JFK",2013-10-29,46.04
"76",89.06,"EWR",2013-08-20,89.06
"77",35.06,"LGA",2013-11-25,35.06
"78",60.8,"LGA",2013-06-07,60.8
"79",44.06,"LGA",2013-03-11,44.06
"80",73.94,"EWR",2013-08-27,73.94
"81",44.06,"JFK",2013-11-23,44.06
"82",68,"JFK",2013-10-11,68
"83",55.04,"EWR",2013-10-27,55.04
"84",69.98,"EWR",2013-09-09,69.98
"85",80.96,"JFK",2013-08-31,80.96
"86",64.94,"JFK",2013-10-08,64.94
"87",53.96,"EWR",2013-12-23,53.96
"88",71.06,"JFK",2013-08-16,71.06
"89",75.92,"LGA",2013-09-19,75.92
"90",53.96,"JFK",2013-09-23,53.96
"91",62.96,"EWR",2013-05-17,62.96
"92",44.06,"JFK",2013-11-19,44.06
"93",37.04,"EWR",2013-01-07,37.04
"94",62.06,"JFK",2013-05-11,62.06
"95",24.08,"LGA",2013-12-12,24.08
"96",78.98,"JFK",2013-06-17,78.98
"97",42.98,"JFK",2013-01-29,42.98
"98",50,"EWR",2013-05-13,50
"99",86,"EWR",2013-07-10,86
"100",84.02,"EWR",2013-08-30,84.02
"101",84.92,"EWR",2013-06-27,84.92
"102",24.08,"JFK",2013-01-24,24.08
"103",75.02,"EWR",2013-08-27,75.02
"104",68,"LGA",2013-10-04,68
"105",44.96,"EWR",2013-03-24,44.96
"106",53.96,"JFK",2013-09-30,53.96
"107",73.04,"LGA",2013-07-31,73.04
"108",60.98,"JFK",2013-05-02,60.98
"109",82.94,"EWR",2013-07-22,82.94
"110",62.06,"JFK",2013-10-21,62.06
"111",35.06,"LGA",2013-12-19,35.06
"112",42.8,"JFK",2013-02-19,42.8
"113",64.04,"JFK",2013-11-01,64.04
"114",26.96,"JFK",2013-01-18,26.96
"115",60.08,"JFK",2013-05-27,60.08
"116",64.94,"EWR",2013-10-04,64.94
"117",53.96,"LGA",2013-04-14,53.96
"118",93.92,"LGA",2013-07-17,93.92
"119",64.04,"LGA",2013-09-28,64.04
